INT	STRING	INT	INT	INT	INT	STRING
牌ID	牌名	属性ID	属性值	概率	牌对应的item id	牌ID集合(对牌ID=1~14的任意牌有效)
1	任意牌	-1	-1	0	-1	15~21|31~39|41~49|51~59
2	任意风牌	0	1	0	-1	15~18
3	任意箭牌	0	1	0	-1	19~21
4	任意字牌	0	1	0	-1	15~21
5	任意非字牌	-1	-1	0	11970021	31~39|41~49|51~59
6	任意条牌	0	1	0	-1	31~39
7	任意筒牌	0	1	0	-1	41~49
8	任意万牌	0	1	0	-1	51~59
9	任意顺	94	80	0	-1	
10	任意刻	94	120	0	-1	
11	任意将	94	40	0	-1	
12	任意非字牌加箭牌	-1	-1	0	11970022	19~21|31~39|41~49|51~59
15	东	163	3	0	11980015	
16	南	163	3	0	11980016	
17	西	163	3	0	11980017
18	北	163	3	0	11980018
19	中	149	4	0	11980019
20	发	150	4	0	11980020
21	白	151	4	0	11980021
31	一条	149	1	0	11980031
32	二条	149	3	0	11980032
33	三条	149	2	0	11980033
34	四条	149	1	0	11980034
35	五条	149	3	0	11980035
36	六条	149	2	0	11980036
37	七条	149	1	0	11980037
38	八条	149	3	0	11980038
39	九条	149	2	0	11980039
41	一筒	151	1	0	11980041
42	二筒	151	3	0	11980042
43	三筒	151	2	0	11980043
44	四筒	151	1	0	11980044
45	五筒	151	3	0	11980045
46	六筒	151	2	0	11980046
47	七筒	151	1	0	11980047
48	八筒	151	3	0	11980048
49	九筒	151	2	0	11980049
51	一万	150	1	0	11980051
52	二万	150	3	0	11980052
53	三万	150	2	0	11980053
54	四万	150	1	0	11980054
55	五万	150	3	0	11980055
56	六万	150	2	0	11980056
57	七万	150	1	0	11980057
58	八万	150	3	0	11980058
59	九万	150	2	0	11980059
