INT	INT	INT	INT	INT	INT	INT	STRING
组合ID（从小到大，优先级依次提高）	组合名	需求牌型1	需求牌型2	需求牌型3	强化属性ID	强化数值	特效
9	任意顺	-1	-1	-1	149	1	
10	任意刻	-1	-1	-1	149	1	
11	任意将	-1	-1	-1	149	1	
12	任意条顺	6	6	6	149	2	
13	任意筒顺	7	7	7	151	2	
14	任意万顺	8	8	8	150	2	
15	任意条刻	6	6	6	149	2	
16	任意筒刻	7	7	7	151	2	
17	任意万刻	8	8	8	150	2	
18	任意条将	6	6	-1	149	2	
19	任意筒将	7	7	-1	151	2	
20	任意万将	8	8	-1	150	2	
90	中将	19	19	-1	163	2	
91	发将	20	20	-1	163	2	
92	白将	21	21	-1	163	2	
93	5条将	35	35	-1	149	4	
94	5筒将	45	45	-1	151	4	
95	5万将	55	55	-1	150	4
96	箭将	3	3	-1	163	2
97	风将	2	2	-1	163	2
98	箭刻	3	3	3	163	1
99	风刻	2	2	2	163	1
100	条123	31	32	33	149	4
101	条456	34	35	36	149	4
102	条789	37	38	39	149	4
103	筒123	41	42	43	151	4
104	筒456	44	45	46	151	4
105	筒789	47	48	49	151	4
106	万123	51	52	53	150	4
107	万456	54	55	56	150	4
108	万789	57	58	59	150	4
109	东刻	15	15	15	163	4
110	南刻	16	16	16	163	4
111	西刻	17	17	17	163	4
112	北刻	18	18	18	163	4
113	中刻	19	19	19	149	4
114	发刻	20	20	20	150	4
115	白刻	21	21	21	151	4
116	2条刻	32	32	32	149	4
117	5条刻	35	35	35	149	4
118	8条刻	38	38	38	149	4
119	2筒刻	42	42	42	151	4
120	5筒刻	45	45	45	151	4
121	8筒刻	48	48	48	151	4
122	2万刻	52	52	52	150	4
123	5万刻	55	55	55	150	4
124	8万刻	58	58	58	150	4
125	2条将	32	32	-1	149	4
126	2筒将	42	42	-1	151	4
127	2万将	52	52	-1	150	4
128	8条将	38	38	-1	149	4
129	8筒将	48	48	-1	151	4
130	8万将	58	58	-1	150	4
